Title,Rarity,Edge,Mintage,Engraver,Times Issued,Composition,Currency,Demonetized,Diameter,Orientation,Shape,Type,Issuer,Technique,Thickness,Weight,Year,Historical Figure,Century
1 Penny - George VI with 'IND:IMP',3,Plain,-1.0,1,11,Bronze,Pound sterling (1158-1970),1,30.8,Medal alignment ↑↑,0,Standard circulation coin,United Kingdom - The Royal Mint,Milled,1.6,9.45,1937.0,1,unknown
1 Yuan,4,Smooth,-1.0,0,0,Nickel,Second Rénmínbì (1955-date),0,25.0,Medal alignment ↑↑,0,Standard circulation coin,People's Republic of China,Milled,2.0,6.1,1991.0,0,unknown
1 Penny - Victoria 3rd portrait,4,Plain,5395800.0,1,7,Bronze,Pound sterling (1158-1970),1,30.8,Medal alignment ↑↑,0,Standard circulation coin,United Kingdom - The Royal Mint,Milled,1.6,9.45,1895.0,1,unknown
50 Centavos Rio Branco; stainless steel,4,Smooth,189952000.0,1,23,Other,Real (1994-date),0,23.0,Coin alignment ↑↓,0,Standard circulation coin,Brazil,Milled,2.85,7.81,2002.0,0,unknown
½ Penny - Elizabeth II 1st portrait; with 'BRITT:OMN',9,Plain,-1.0,1,3,Bronze,Pound sterling (1158-1970),1,25.4,Medal alignment ↑↑,0,Standard circulation coin,United Kingdom - The Royal Mint,Milled,1.8,5.67,1953,1,19
10 Tiyin,8,Reeded,-1.0,0,0,Nickel,Second soʻm (1994-date),1,18.7,Medal alignment ↑↑,0,Standard circulation coin,Uzbekistan,Milled,1.4,2.85,1994,0,19
5 Euro Cent,4,Smooth,234512047.0,1,55,Copper,Euro (2002-date),0,21.25,Medal alignment ↑↑,0,Standard circulation coin,Portugal,Milled,1.67,3.92,2002.0,0,unknown
25 Cents - Elizabeth II,10,Reeded,8258.0,0,7,Bimetallic,Dollar (1964-date),1,20.0,Medal alignment ↑↑,0,Standard circulation coin,Trinidad and Tobago,Milled,1.5,3.5,1974.0,1,unknown
10 Tornesi - Ferdinando IV,71,Special,-1.0,0,0,Copper,Piastra (1266-1812),1,35.0,Coin alignment ↑↓,0,Standard circulation coin,Kingdom of Naples,Other,3.5,23.0,1798,1,17
"200 Euro - Juan Carlos I Alfonso X ""El Sabio""",95,Special,3500.0,0,1,Gold,Euro (2002-date),0,30.0,Medal alignment ↑↑,0,Non-circulating coin,Spain,Milled,1.8,13.5,2008,1,20
½ Real,93,Special,3200.0,0,1,Silver,Real (1822-1871),1,16.0,Coin alignment ↑↓,0,Standard circulation coin,Ecuador,Other,1.8,1.3,1833.0,0,unknown
1 Pfennig - Friedrich Karl August,80,Plain,-1.0,0,0,Copper,Thaler (1712-1848),1,19.0,Medal alignment ↑↑,0,Standard circulation coin,Principality of Waldeck-Pyrmont,Other,0.7,1.4,1780.0,1,unknown
Token - Bayerische Vereinsbank Ampfing,95,Smooth,-1.0,0,0,Other,Germany - Advertising Tokens,-1,22.0,Medal alignment ↑↑,0,Token/Medal,Federal Republic of Germany,Other,2.0,9.9,unknown,0,unknown
4 Reales - Rafael Carrera,76,Special,106696.0,0,3,Bimetallic,"Real (Republic, 1838-1912)",1,30.5,Coin alignment ↑↓,0,Standard circulation coin,Guatemala,Milled,1.8,12.32,1863.0,0,unknown
1 Yuan Hupeh-Honan-Anhwei Soviet,93,Reeded,-1.0,0,0,Silver,Soviet Hubei-Honan-Anhui,1,39.0,Medal alignment ↑↑,0,Standard circulation coin,Republic of China,Milled,2.5,27.2,1932,0,19
2 Jiao Northern expedition,87,Reeded,-1.0,0,0,Silver,2 Jiao Northern expedition,1,24.0,Medal alignment ↑↑,0,Circulating commemorative coin,Fukien Province,Milled,1.8,5.0,1927,0,19
1 Kreuzer,85,Special,-1.0,0,0,Silver,Konventionsthaler (1754-1807),1,25.75,Coin alignment ↑↓,0,Standard circulation coin,Free imperial city of Nuremberg,Other,1.8,28.28,1759,0,17
1 Jiao,92,Reeded,-1.0,0,0,Silver,1 Jiao,1,19.0,Medal alignment ↑↑,0,Standard circulation coin,Fukien Province,Milled,1.8,2.6,1913,0,19
20 Cash 1st issue; cast brass; warlord issue,93,Smooth,-1.0,0,0,Brass,Yuan (1912-1948),1,32.0,Medal alignment ↑↑,0,Standard circulation coin,Republic of China,Other,1.8,28.28,1919,0,19
10 Cash 2nd issue; Founding of the Republic,92,Smooth,-1.0,1,0,Copper,Yuan (1912-1948),1,29.0,Medal alignment ↑↑,0,Circulating commemorative coin,Republic of China,Milled,1.5,6.8,1914.0,0,unknown
100 Dollars - Elizabeth II Bowhead Whale,80,Reeded,52239.0,1,1,Gold,Canadian dollar (1858-date),0,27.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,2.2,13.338,1988,1,19
100 Dollars - Elizabeth II Saint-Marie Among the Hurons,83,Reeded,63881.0,1,1,Gold,Canadian dollar (1858-date),0,27.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,2.2,13.338,1989,1,19
100 Dollars - Elizabeth II Montreal,91,Reeded,28190.0,1,1,Gold,Canadian dollar (1858-date),0,27.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,2.2,13.3375,1992,1,19
5 Li,77,Smooth,1789000.0,1,1,Bronze,Yuan (1912-1948),1,22.5,Medal alignment ↑↑,1,Standard circulation coin,Republic of China,Milled,1.5,3.52,1916,0,19
100 Dollars - Elizabeth II Peace,84,Reeded,76255.0,1,1,Gold,Canadian dollar (1858-date),0,27.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,2.2,16.965,1986,1,19
100 Dollars - Elizabeth II Literacy,87,Reeded,49940.0,1,1,Gold,Canadian dollar (1858-date),0,27.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,2.2,13.338,1990,1,19
"1 Dollar - Elizabeth II ""Britannia"" Gold Bullion",94,Reeded,5000.0,0,1,Gold,Dollar (1969-date),0,11.0,Medal alignment ↑↑,0,Non-circulating coin,Fiji,Milled,1.8,0.5,2012,0,20
½ Crown - Elizabeth II Sovereign,93,Reeded,-1.0,0,0,Gold,Crown (1978-date),0,11.0,Medal alignment ↑↑,0,Non-circulating coin,Tristan da Cunha,Milled,1.8,0.5,2008,1,20
1 Pfennig - George IV,91,Special,-1.0,0,0,Copper,Thaler (1815-1856),1,20.0,Medal alignment ↑↑,0,Standard circulation coin,Duchy of Brunswick,Other,1.8,28.28,1818,1,18
2 Pfennige - Karl II,73,Special,-1.0,0,0,Copper,Thaler (1815-1856),1,24.0,Medal alignment ↑↑,0,Standard circulation coin,Duchy of Brunswick,Other,1.8,28.28,1824.0,1,unknown
1⁄24 Thaler - George IV,90,Smooth,-1.0,0,0,Bimetallic,Thaler (1815-1856),1,19.0,Medal alignment ↑↑,0,Standard circulation coin,Duchy of Brunswick,Other,0.9,1.94,1823,1,18
12 Mariengroschen - August Wilhelm,93,Special,-1.0,0,0,Silver,Thaler (1499-1814),1,32.0,unknown,0,Standard circulation coin,Principality of Brunswick-Wolfenbüttel,Other,1.8,28.28,1714.0,1,unknown
2 Mithqual - Guangxu Kashgar; Er Qian Ka Zao,97,Smooth,-1.0,0,0,Silver,2 Mithqual - Guangxu Kashgar; Er Qian Ka Zao,1,24.0,Medal alignment ↑↑,0,Standard circulation coin,Sinkiang Province,Other,1.8,7.01,1320.0,1,unknown
10 Escudos,7,Smooth,3876209.0,1,4,Bimetallic,Escudo (1911-2001),1,28.0,Coin alignment ↑↓,0,Standard circulation coin,Portugal,Milled,2.18,10.0,1971.0,0,unknown
"Medallion - Pembroke, Ontario",92,Special,-1.0,0,0,Nickel,Canada - Souvenir Tokens,-1,25.75,Medal alignment ↑↑,0,Token/Medal,Canada,Other,1.8,28.28,1971,0,19
50 Pfennig - Oldenburg im Großherzogtum,74,Plain,-1.0,0,0,Iron,"Mark (notgeld, 1914-1924)",1,24.3,Medal alignment ↑↑,1,Standard circulation coin,City of Oldenburg in Oldenburg,Milled,1.1,3.5,unknown,0,unknown
20 Centavos,8,Reeded,6220000.0,0,2,Bronze,Escudo (1911-2001),1,24.0,Medal alignment ↑↑,0,Standard circulation coin,Portugal,Milled,1.35,5.0,1924.0,0,unknown
100 Drachmes Basketball Championships,10,Special,-1.0,1,0,Bronze,Third modern drachma (1954-2001),1,29.0,Medal alignment ↑↑,0,Circulating commemorative coin,Greece,Milled,1.8,10.1,1998,0,19
100 Drachmes Universal Track Games,10,Special,5000000.0,1,1,Bronze,Third modern drachma (1954-2001),1,29.48,Medal alignment ↑↑,0,Circulating commemorative coin,Greece,Milled,2.22,9.87,1997,0,19
25 Cents - Elizabeth II Cross Country Skiing,7,Reeded,22000000.0,1,1,Nickel,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.58,4.4,2009,1,20
1 Cent - George VI without ET IND:IMP:,5,Plain,25767779.0,1,5,Bronze,Canadian dollar (1858-date),0,19.05,Medal alignment ↑↑,0,Standard circulation coin,Canada - Royal Canadian Mint,Milled,1.65,3.24,1948.0,1,unknown
½ Cent,84,Smooth,185000.0,1,1,Zinc,Piastre (1880-1952),1,21.0,Coin alignment ↑↓,1,Standard circulation coin,French Indochina,Milled,1.6,3.04,1939.0,0,unknown
"Medallion - Gimli, Manitoba Centennial",95,Reeded,-1.0,0,0,Nickel,Canada - Souvenir Tokens,-1,33.0,Medal alignment ↑↑,0,Token/Medal,Canada,Other,1.8,14.0,1975,0,19
Tetradrachm - Ardashir I type II - Parthian style Kulah,97,Smooth,-1.0,0,0,Billon,Drachm (224 AD-651 AD),1,29.0,unknown,1,Standard circulation coin,Sasanian Empire,Hammered,1.8,13.68,224.0,0,unknown
"Centennial Medallion - CFB Cold Lake, Alberta",90,Plain,-1.0,0,0,Nickel,"Centennial Medallion - CFB Cold Lake, Alberta",-1,32.0,Medal alignment ↑↑,0,Token/Medal,Canada,Milled,1.8,28.28,1967,0,19
1 Nuevo Sol 450 years Casa Nacional de Moneda,14,Reeded,20000000.0,1,1,Bimetallic,Nuevo sol (1991-2015) / Sol (2016-date),0,25.5,Coin alignment ↑↓,0,Circulating commemorative coin,Peru,Milled,1.9,7.32,2015,0,20
Drachm - Ardashir I type II - Parthian style Kulah,100,Smooth,-1.0,0,0,Silver,Drachm (224 AD-651 AD),1,24.0,Coin alignment ↑↓,1,Standard circulation coin,Sasanian Empire,Hammered,1.8,3.97,224.0,0,unknown
2 Francs Essai,82,Special,-1.0,0,0,Bimetallic,CFP franc (1945-date),1,27.0,Coin alignment ↑↓,0,Other,Réunion,Milled,1.8,10.3,1948,0,19
Mexico mint,89,Special,-1.0,0,0,Other,Mexico - Mint Tokens,-1,20.0,unknown,0,Token/Medal,Mexico,Other,1.8,28.28,1985,0,19
Token - Mexico Mint,94,Special,-1.0,0,0,Other,Mexico - Mint Tokens,-1,20.0,unknown,0,Token/Medal,Mexico,Other,1.8,28.28,unknown,0,unknown
Medal - Hidalgo,86,Special,-1.0,0,0,Other,Mexico - Souvenir Tokens,-1,16.0,Medal alignment ↑↑,0,Token/Medal,Mexico,Other,1.3,1.9,unknown,0,unknown
Token - Bally's LeMans Family Fun Centers,74,Smooth,-1.0,0,0,Other,Token - Bally's LeMans Family Fun Centers,-1,21.0,Medal alignment ↑↑,1,Token/Medal,United States,Other,1.25,3.94,unknown,0,unknown
"50 Cents - Ponoka, Alberta",92,Plain,1500.0,0,1,Brass,Canada - Local Dollar Tokens,1,33.0,Medal alignment ↑↑,0,Token/Medal,Canada,Milled,1.8,10.8,1967,0,19
"$100,000.00 Reader's Digest Lucky Sweepstakes Coin",84,Smooth,-1.0,0,0,Other,United States - Advertising Tokens,-1,35.0,Medal alignment ↑↑,0,Token/Medal,United States,Milled,1.5,3.36,unknown,0,unknown
"Souvenir Dollar - Calgary, Alberta",88,Plain,100000.0,1,1,Brass,Canada - Local Dollar Tokens,1,37.0,Medal alignment ↑↑,0,Token/Medal,Canada,Milled,1.8,16.7,1963,0,19
1 Credito,92,Smooth,-1.0,0,0,Other,1 Credito,1,21.5,Medal alignment ↑↑,0,Other,Federation of Damanhur,Milled,1.5,3.5,2002,0,20
10 Cali,94,Smooth,-1.0,0,0,Other,10 Cali,-1,15.0,Medal alignment ↑↑,0,Other,Federation of Damanhur,Milled,1.0,1.8,2002,0,20
8 Reales Profile eagle,89,Special,-1.0,0,0,Silver,Real (1535-1897),1,39.0,unknown,0,Standard circulation coin,Mexico,Other,1.8,27.07,1823.0,0,unknown
2 Hryvni Mykhailo Verbytskyi,38,Special,30000.0,0,1,Bimetallic,Hryvnia (1996-date),0,31.0,Medal alignment ↑↑,0,Non-circulating coin,Ukraine - National Bank of Ukraine,Milled,2.3,12.8,2015,0,20
1 Cent - George VI with ET IND:IMP:,4,Plain,10040231.0,1,13,Bronze,Canadian dollar (1858-date),0,19.05,Medal alignment ↑↑,0,Standard circulation coin,Canada - Royal Canadian Mint,Milled,1.65,3.24,1937.0,1,unknown
1 Tallér - Mária Terézia,91,Smooth,-1.0,0,0,Silver,Austro-Hungarian forint (1754-1857),1,40.0,unknown,0,Standard circulation coin,Hungary,Other,1.8,28.06,1780,1,17
"20 Dollars - Elizabeth II de Havilland ""Beaver""",69,Special,36197.0,1,1,Silver,Canadian dollar (1858-date),0,38.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,3.5,31.103,1991,1,19
1 Tallér - II. Lipót,94,Special,-1.0,0,0,Silver,Austro-Hungarian forint (1754-1857),1,40.0,unknown,0,Standard circulation coin,Hungary,Other,1.8,28.06,1790,1,17
20 Dollars - Elizabeth II Curtiss JN-4 Canuck,72,Special,33105.0,1,1,Silver,Canadian dollar (1858-date),0,38.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,3.5,31.103,1992,1,19
1 Tallér - Mária Terézia,95,Special,-1.0,0,0,Silver,Tallér (1526-1754),1,41.0,unknown,0,Standard circulation coin,Hungary,Other,1.8,28.82,1749.0,1,unknown
5 Dollars - Elizabeth II Norman Bethune,83,Reeded,65831.0,1,1,Silver,Canadian dollar (1858-date),0,38.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,3.3,31.39,1998,1,19
20 Dollars - Elizabeth II Silver Dart,72,Special,35202.0,1,1,Silver,Canadian dollar (1858-date),0,38.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,3.5,31.103,1991,1,19
1 Xerafim - João IV Goa mint,93,Special,-1.0,0,0,Silver,Xerafim (1580-1706),1,26.0,unknown,0,Standard circulation coin,Portuguese India,Other,1.8,11.0,1650.0,0,unknown
28 Stuiver - Nijmegen,93,Special,-1.0,0,0,Other,Netherlands - Local Florijn Tokens,-1,27.0,Medal alignment ↑↑,0,Token/Medal,Netherlands,Other,1.8,28.28,2010.0,0,unknown
20 Dollars - Elizabeth II Avro Anson,68,Special,41844.0,1,1,Silver,Canadian dollar (1858-date),0,38.0,Medal alignment ↑↑,0,Non-circulating coin,Canada - Royal Canadian Mint,Milled,3.5,31.103,1990,1,19
50 Baisa - Qaboos National Day,11,Reeded,3000.0,0,2,Nickel,Rial (1972-date),0,24.0,Medal alignment ↑↑,0,Circulating commemorative coin,Oman,Milled,1.9,5.6,2015,1,20
2 Dollars - Elizabeth II Berlin,95,Special,-1.0,0,0,Silver,Dollar (1977-date),0,40.0,Medal alignment ↑↑,1,Non-circulating coin,Solomon Islands,Milled,1.8,15.56,2014,1,20
2 Dollars - Elizabeth II Paris,95,Special,-1.0,0,0,Silver,Dollar (1977-date),0,40.0,Medal alignment ↑↑,1,Non-circulating coin,Solomon Islands,Milled,1.8,15.56,2014,1,20
½ Penny Middlesex - Kilvington,80,Plain,-1.0,0,0,Copper,Conder tokens (1787-1797),1,28.0,Coin alignment ↑↓,0,Token/Medal,United Kingdom,Other,1.5,28.28,1795,0,17
5 Escudos,11,Reeded,8000000.0,0,1,Silver,Escudo (1911-1974),1,22.0,Coin alignment ↑↓,0,Standard circulation coin,Mozambique - Banco Nacional Ultramarino,Milled,1.2,4.0,1960,0,19
2 Złote Szwoleżer Gwardii Cesarza Napoleona I,14,Special,1400000.0,0,1,Gold,Fourth złoty (1995-date),0,27.0,Medal alignment ↑↑,0,Circulating commemorative coin,Poland,Milled,2.0,8.15,2010,0,20
2 Złote Massacre of Katyń,16,Special,1000000.0,0,1,Gold,Fourth złoty (1995-date),0,27.0,Medal alignment ↑↑,0,Circulating commemorative coin,Poland,Milled,2.0,8.15,2010,0,20
1 Rouble - Nicholas II,10,Smooth,1100002.0,0,25,Silver,Ruble (1700-1921),1,33.65,Medal alignment ↑↑,0,Standard circulation coin,Russian Empire,Milled,2.7,20.0,1895.0,1,unknown
2 Złote Podkowiec mały (Rhinolophus hipposideros),12,Special,1700000.0,0,1,Gold,Fourth złoty (1995-date),0,27.0,Medal alignment ↑↑,0,Circulating commemorative coin,Poland,Milled,2.0,8.15,2010,0,20
20 Hryven Volodymyr the Great,90,Smooth,2000.0,0,1,Bimetallic,Hryvnia (1996-date),0,50.0,Medal alignment ↑↑,0,Non-circulating coin,Ukraine - National Bank of Ukraine,Milled,1.8,67.25,2015,0,20
1 Nuevo Sol 450 years Casa Nacional de Moneda,94,Reeded,1000.0,0,1,Gold,Nuevo sol (1991-2015) / Sol (2016-date),0,26.0,Coin alignment ↑↓,0,Non-circulating coin,Peru,Milled,1.8,16.967,2015,0,20
"20 Schilling St. Stephan's Cathedral, Vienna",26,Smooth,700000.0,1,2,Bimetallic,Second Schilling (1945-2001),1,27.8,Medal alignment ↑↑,0,Circulating commemorative coin,Austria,Milled,1.9,8.0,1997,0,19
25 Schilling Anton Bruckner,18,Special,2399000.0,1,2,Bimetallic,Second Schilling (1945-2001),1,30.0,Medal alignment ↑↑,0,Non-circulating coin,Austria,Milled,2.13,13.0,1962,0,19
50 Schilling European Monetary Union,31,Special,1200000.0,1,2,Bimetallic,Second Schilling (1945-2001),1,26.5,Medal alignment ↑↑,0,Circulating commemorative coin,Austria,Milled,2.1,8.15,1999,0,19
100 Francs CFA - Bokassa I,29,Milled,1200000.0,0,1,Nickel,"CFA franc (Bank of Central African States, 1973-date)",1,25.5,Coin alignment ↑↓,0,Standard circulation coin,Central African Republic - Bank of Central African States,Milled,1.8,7.0,1978,0,19
Elevator Token - CLC Bahia Salvador,88,Smooth,-1.0,0,0,Brass,Elevator Token - CLC Bahia Salvador,1,19.0,Medal alignment ↑↑,0,Token/Medal,Brazil,Other,2.0,4.8,unknown,0,unknown
San Luis Potosi mint,90,Special,-1.0,0,0,Other,Mexico - Mint Tokens,-1,20.0,unknown,0,Token/Medal,Mexico,Other,1.8,28.28,1983,0,19
2 Lire - Vittorio Emanuele II,24,Special,10089939.0,1,2,Silver,Lira (1861-2001),1,27.0,Coin alignment ↑↓,0,Standard circulation coin,Italy,Milled,1.8,10.0,1863,1,18
1000 Dinara Uprising,45,Reeded,100000.0,0,1,Silver,Hard dinar (1966-1989),1,30.0,Medal alignment ↑↑,0,Non-circulating coin,Yugoslavia,Milled,1.8,14.0,1981,0,19
5 Quattrini - Leopoldo II,42,Plain,42450.0,1,4,Billon,Fiorino (1826-1859),1,23.5,Coin alignment ↑↓,0,Standard circulation coin,Tuscany,Other,1.0,3.9,1826.0,1,unknown
3 Centesimi - Ferdinand I,52,Plain,-1.0,0,0,Copper,Scudo (1815-1862),1,22.0,Medal alignment ↑↑,0,Standard circulation coin,Kingdom of Lombardy-Venetia,Milled,2.0,5.25,1839.0,1,unknown
1 Krajczár War of Independence Coinage,30,Special,298549.0,0,2,Copper,Austro-Hungarian forint (1754-1857),1,26.0,Medal alignment ↑↑,0,Standard circulation coin,Hungary,Other,2.0,8.77,1848.0,0,unknown
Muraiola of 4 Bolognini - Pius VI,93,Smooth,-1.0,0,0,Billon,Bologna - Scudo (1191-1777),1,23.0,unknown,0,Standard circulation coin,Papal States,Other,1.8,2.9,1778.0,1,unknown
½ Farthing - Edward VII Coronation Model,64,Special,-1.0,1,0,Bronze,½ Farthing - Edward VII Coronation Model,1,16.0,Medal alignment ↑↑,0,Other,United Kingdom,Other,1.8,1.45,1902,1,19
⅓ Farthing - Edward VII Colonial issue,32,Plain,288000.0,1,1,Bronze,Pound sterling (1158-1970),1,15.0,Medal alignment ↑↑,0,Standard circulation coin,United Kingdom - The Royal Mint,Milled,0.9,0.94,1902,1,19
1 Lira - Umberto I,13,Special,5420.0,1,7,Silver,Lira (1861-2001),1,23.0,Coin alignment ↑↓,0,Standard circulation coin,Italy,Milled,1.8,5.0,1883.0,1,unknown
3 Mark - Wilhelm II Reign,16,Smooth,1000000.0,0,2,Silver,Mark,1,33.0,Medal alignment ↑↑,0,Circulating commemorative coin,Kingdom of Prussia,Milled,2.37,16.667,1913,1,19
2 Pounds - Elizabeth II 3rd portrait; Claim of Right,20,Milled,345891.0,1,3,Bimetallic,"Pound sterling (decimalized, 1971-date)",0,28.4,Medal alignment ↑↑,0,Circulating commemorative coin,United Kingdom,Milled,1.8,15.98,1989,1,19
Token - Sainsbury's Makers of the Millennium Mahatma Gandhi,60,Smooth,-1.0,0,0,Other,Token - Sainsbury's Makers of the Millennium Mahatma Gandhi,-1,27.0,Medal alignment ↑↑,0,Token/Medal,United Kingdom,Milled,2.1,8.0,2000,0,20
"1 Penny I. Friedman - Hobart, Tasmania",84,Smooth,-1.0,0,0,Copper,Trade Tokens,1,34.0,Medal alignment ↑↑,0,Token/Medal,Australia - Colonial,Milled,2.0,12.92,1857,0,18
50 Dirhams - Zayed UAE 25th National Day,83,Reeded,8000.0,0,1,Silver,Dirham (1973-date),0,40.0,Medal alignment ↑↑,0,Non-circulating coin,United Arab Emirates,Milled,1.8,40.0,1996,1,19
10 Roubles,77,Reeded,-1.0,0,0,Other,10 Roubles,-1,35.0,Medal alignment ↑↑,0,Other,Abkhazia,Milled,2.0,13.7,2013,0,20
Follis - Decentius VICTORIAE DD NN AVG ET CAES; Arelate,90,Gross,-1.0,0,0,Bronze,"Solidus, Reform of Constantine (AD 310/324 – 395)",1,22.0,Medal alignment ↑↑,1,Standard circulation coin,Usurpations of Western provinces,Hammered,1.8,4.0,351.0,0,unknown
¹⁄₂₅ Crown - Elizabeth II Native American Culture,97,Reeded,15000.0,1,1,Gold,Crown Coinage (1967-date),0,13.92,Medal alignment ↑↑,0,Non-circulating coin,Gibraltar,Milled,1.8,1.22,1997,1,19
¹⁄₂₅ Crown - Elizabeth II The Roman Empire,95,Reeded,15000.0,1,1,Gold,Crown Coinage (1967-date),0,13.92,Medal alignment ↑↑,0,Non-circulating coin,Gibraltar,Milled,1.8,1.22,1997,1,19
¹⁄₂₅ Crown - Elizabeth II The Macedonian Empire,97,Reeded,15000.0,1,1,Gold,Crown Coinage (1967-date),0,13.92,Medal alignment ↑↑,0,Non-circulating coin,Gibraltar,Milled,1.8,1.22,1997,1,19
¹⁄₂₅ Crown - Elizabeth II The Holy Roman Empire,97,Reeded,15000.0,1,1,Gold,Crown Coinage (1967-date),0,13.92,Medal alignment ↑↑,0,Non-circulating coin,Gibraltar,Milled,1.8,1.22,1997,1,19
¹⁄₂₅ Crown - Elizabeth II Indian Civilisation - Hinduism,95,Reeded,15000.0,1,1,Gold,Crown Coinage (1967-date),0,13.92,Medal alignment ↑↑,0,Non-circulating coin,Gibraltar,Milled,1.8,1.22,1997,1,19
1 Paisa - Mahadji Rao Jawad mint,92,Special,-1.0,0,0,Copper,Rupee,1,18.0,unknown,1,Standard circulation coin,Princely state of Gwalior,Other,1.8,8.5,1793.0,0,unknown
1 Euro Cent - Henri I,5,Smooth,34557500.0,1,60,Copper,Euro (2002-date),0,16.25,Medal alignment ↑↑,0,Standard circulation coin,Luxembourg,Milled,1.67,2.3,2002.0,1,unknown
5000 Forint St. Elizabeth of Hungary - Árpádházi Szent Erzsébet,86,Special,4000.0,0,2,Silver,Forint (1946-date),0,38.6,unknown,0,Non-circulating coin,Hungary,Milled,1.8,31.46,2007,0,20
Medal - Charles Dickens,82,Plain,-1.0,0,0,Bronze,Medal - Charles Dickens,-1,39.81,Medal alignment ↑↑,0,Token/Medal,United Kingdom,Other,3.02,23.75,unknown,0,unknown
50 Shilingi,7,Plain,-1.0,0,0,Brass,Shilling (1966-date),0,22.0,Medal alignment ↑↑,1,Standard circulation coin,Tanzania,Milled,2.9,7.91,1996.0,0,unknown
1 Centavo,62,Reeded,2000000.0,0,1,Copper,Peso (1871-1884),1,26.0,Variable alignment ↺,0,Standard circulation coin,Ecuador,Milled,1.8,5.9,1872.0,0,unknown
1 Hryvnia Defeat of the Fascist Invaders,16,Smooth,5000000.0,0,1,Bronze,Hryvnia (1996-date),0,26.0,Medal alignment ↑↑,0,Circulating commemorative coin,Ukraine - National Bank of Ukraine,Milled,1.8,6.8,2004,0,20
100 000 Złotych Solidarnosc,39,Smooth,500000.0,0,3,Silver,Third złoty (1949-1994),1,39.0,Medal alignment ↑↑,0,Non-circulating coin,Poland,Milled,3.0,31.1,1990,0,19
1 Euro 1st map,4,Smooth,135140000.0,1,11,Bimetallic,Euro (2002-date),0,23.25,Medal alignment ↑↑,0,Standard circulation coin,Ireland,Milled,2.33,7.5,2002.0,0,unknown
50 Dinars,18,Smooth,-1.0,0,0,Bimetallic,Dinar (1992-2007),1,24.0,Medal alignment ↑↑,0,Standard circulation coin,Sudan,Milled,1.6,5.6,2002,0,20
10 000 Złotych Constitution of 3 May 1791,14,Milled,2605000.0,0,1,Nickel,Third złoty (1949-1994),1,29.5,Medal alignment ↑↑,0,Circulating commemorative coin,Poland,Milled,2.0,9.47,1991,0,19
2 Dollars - Elizabeth II Churchill,13,Special,31636.0,1,2,Bimetallic,Canadian dollar (1858-date),0,28.0,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.8,7.3,2006,1,20
48 Lire,95,Special,-1.0,0,0,Gold,Scudo (1528-1797),1,28.0,Coin alignment ↑↓,0,Standard circulation coin,Republic of Genoa,Other,1.8,12.6,1792.0,0,unknown
4 Falus - Moulay al-Hasan I,70,Smooth,-1.0,0,0,Bronze,Rial (1882-1921),1,34.0,Coin alignment ↑↓,0,Standard circulation coin,Morocco,Milled,1.8,11.54,1306.0,1,unknown
500 Yen - Heisei Fukui,42,Special,1800000.0,0,2,Bimetallic,Yen (1871-date),0,26.5,Medal alignment ↑↑,0,Circulating commemorative coin,Japan,Milled,1.8,7.1,2010,1,20
2 Stuiver,91,Smooth,-1.0,0,0,Copper,Stuiver (1660-1796),1,31.4,unknown,0,Standard circulation coin,Sri Lanka,Other,5.5,25.25,1783.0,0,unknown
25 Centésimos Ruins of Old Panama,11,Reeded,6000000.0,0,2,Bimetallic,Balboa (1904-date),0,24.26,Coin alignment ↑↓,0,Circulating commemorative coin,Panama,Milled,1.65,5.67,2003,0,20
3000 Riels - Norodom Sihamoni Taj Mahal,86,Reeded,25000.0,0,1,Gold,Second riel (1979-date),0,13.92,Medal alignment ↑↑,0,Non-circulating coin,Cambodia,Milled,1.8,1.24,2005,1,20
10 Dollars Dendrobates Azureus,100,Reeded,2500.0,0,1,Silver,Dollar (1943-date),0,39.0,unknown,0,Non-circulating coin,Liberia,Milled,1.8,25.0,2005,0,20
50 Cents - Elizabeth II 3rd portrait,13,Reeded,207000.0,1,17,Nickel,Canadian dollar (1858-date),0,27.13,Medal alignment ↑↑,0,Standard circulation coin,Canada - Royal Canadian Mint,Milled,2.0,8.1,1990.0,1,unknown
10 Cash Tongyuan type; solid rays,97,Special,-1.0,0,0,Copper,10 Cash Tongyuan type; solid rays,1,33.0,Medal alignment ↑↑,0,Standard circulation coin,Sinkiang Province,Other,1.8,28.28,1928,0,19
