Title,Rarity,Edge,Mintage,Engraver,Times Issued,Composition,Currency,Demonetized,Diameter,Orientation,Shape,Type,Issuer,Technique,Thickness,Weight,Year,Historical Figure,Century
Token - 300th Anniversary of the Russian Navy Goto Predestinatsia,88,Reeded,-1.0,0,0,Bimetallic,Token - 300th Anniversary of the Russian Navy Goto Predestinatsia,-1,39.0,Medal alignment ↑↑,0,Token/Medal,Russia,Other,1.8,24.0,1996,0,19
50 Cents - Elizabeth II 4th Portrait - William and Kate Royal Wedding,59,Smooth,150.0,0,3,Bimetallic,Dollar (1966-date),0,31.51,Medal alignment ↑↑,1,Non-circulating coin,Australia,Milled,3.0,15.55,2011,1,20
Medallion - Edward VII and Alexandra Kingsway Aldwych,95,Plain,-1.0,0,0,Bimetallic,Medallion - Edward VII and Alexandra Kingsway Aldwych,-1,33.12,Medal alignment ↑↑,0,Token/Medal,United Kingdom,Other,3.17,16.41,1905,1,19
Medal - 150 Years of Swiss Franc,90,Plain,-1.0,0,0,Bimetallic,Medal - 150 Years of Swiss Franc,-1,40.0,Medal alignment ↑↑,0,Token/Medal,Switzerland,Milled,1.8,25.56,2000,0,20
1 Dollar - Elizabeth II John F. Kennedy,85,Reeded,-1.0,0,0,Bimetallic,Dollar (1785-date),0,38.6,Medal alignment ↑↑,0,Non-circulating coin,British Virgin Islands,Milled,1.8,28.28,2003,1,20
"50 Litų Vytautas, the Grand Duke of Lithuania",95,Letter,2500.0,0,1,Silver,New litas (1993-2014),1,34.0,Medal alignment ↑↑,0,Non-circulating coin,Lithuania,Milled,1.8,23.3,2000,0,20
½ Rupee - Giyath Shah,92,Special,-1.0,0,0,Silver,Tanka (1401-1562),1,15.6,Coin alignment ↑↓,1,Standard circulation coin,Sultanate of Malwa,Other,1.8,4.78,1469.0,0,unknown
25 Cents - Elizabeth II Manitoba,8,Reeded,11349000.0,1,1,Nickel,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.58,5.03,1992,1,19
25 Cents - Elizabeth II New Brunswick,8,Reeded,2174000.0,1,1,Nickel,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.58,5.03,1992,1,19
25 Cents - Elizabeth II Ontario,8,Reeded,14263000.0,1,1,Nickel,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.58,5.03,1992,1,19
6 Pence - George VI 3rd coinage,5,Reeded,41335500.0,1,8,Bimetallic,Pound sterling (1158-1970),1,19.3,Medal alignment ↑↑,0,Standard circulation coin,United Kingdom - The Royal Mint,Milled,1.0,2.83,1949.0,1,unknown
25 Sentimos,6,Reeded,20725000.0,0,6,Bimetallic,Piso (1967-date),1,21.0,Medal alignment ↑↑,0,Standard circulation coin,Philippines,Milled,1.6,4.0,1979.0,0,unknown
1 Dollar - George VI with IND:IMP:,21,Milled,207406.0,1,7,Bimetallic,Canadian dollar (1858-date),0,36.0,Medal alignment ↑↑,0,Standard circulation coin,Canada - Royal Canadian Mint,Milled,2.84,23.33,1937.0,1,unknown
1 Dollar - Elizabeth II Canadian Confederation,7,Smooth,23010915.0,1,2,Bimetallic,Canadian dollar (1858-date),0,26.5,Medal alignment ↑↑,1,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.9,7.0,1992,1,19
25 Cents - Elizabeth II Northwest Territories,8,Reeded,12582000.0,1,1,Nickel,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.58,5.03,1992,1,19
25 Cents - Elizabeth II British Columbia,8,Reeded,14001000.0,1,1,Nickel,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.58,5.03,1992,1,19
25 Cents - Elizabeth II 2nd portrait,3,Reeded,131042905.0,1,20,Nickel,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Standard circulation coin,Canada - Royal Canadian Mint,Milled,1.58,5.07,1979.0,1,unknown
1 Euro - Sede Vacante,39,Special,60000.0,1,1,Bimetallic,Euro (2002-date),0,23.25,Medal alignment ↑↑,0,Non-circulating coin,Vatican City,Milled,2.33,7.5,2005,0,20
1 Dollar - Elizabeth II 3rd portrait; non-magnetic,12,Smooth,-1.0,1,0,Bimetallic,Dollar (1977-date),0,30.0,Medal alignment ↑↑,1,Standard circulation coin,Solomon Islands,Milled,2.4,13.45,1996.0,1,unknown
1 Shilling Non-magnetic,10,Reeded,24500000.0,0,5,Bimetallic,Shilling (1966-1987),1,26.0,Medal alignment ↑↑,0,Standard circulation coin,Uganda,Milled,1.8,6.674,1966.0,0,unknown
3 Pingin / ½ Reul,5,Smooth,4000000.0,1,16,Bimetallic,Pound (1826-1971),1,17.7,Medal alignment ↑↑,0,Standard circulation coin,Ireland,Milled,1.81,3.24,1942.0,0,unknown
25 Cents - Elizabeth II Royal Canadian Mounted Police,5,Reeded,134958589.0,1,1,Nickel,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.6,5.05,1973,1,19
"25 Cents - Elizabeth II 2nd portrait, silver (.500)",8,Reeded,71464000.0,1,1,Silver,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Standard circulation coin,Canada - Royal Canadian Mint,Milled,1.8,5.83,1968,1,19
25 Cents - Elizabeth II Confederation- 80%,6,Reeded,48855500.0,1,1,Bimetallic,Canadian dollar (1858-date),0,23.88,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,1.76,5.83,1967,1,19
1 Euro 1st map,13,Special,360800.0,1,7,Bimetallic,Euro (2002-date),0,23.25,Medal alignment ↑↑,0,Standard circulation coin,San Marino,Milled,2.33,7.5,2002.0,0,unknown
2 Francs Chambers of Commerce,4,Reeded,14362786.0,1,7,Copper,Franc (1795-1959),1,27.0,Coin alignment ↑↓,0,Standard circulation coin,France,Milled,2.14,8.0,1920.0,0,unknown
2 Euro - Sede Vacante,37,Letter,60000.0,1,1,Bimetallic,Euro (2002-date),0,25.75,Medal alignment ↑↑,0,Non-circulating coin,Vatican City,Milled,2.2,8.5,2005,0,20
2 Euro 1st map,13,Special,255760.0,1,6,Bimetallic,Euro (2002-date),0,25.75,Medal alignment ↑↑,0,Standard circulation coin,San Marino,Milled,2.2,8.5,2002.0,0,unknown
1 Grosz non-magnetic,3,Milled,29140000.0,0,23,Brass,Fourth złoty (1995-date),0,15.5,Medal alignment ↑↑,0,Standard circulation coin,Poland,Milled,1.2,1.6,1990.0,0,unknown
1 Franc - Léopold II French text,10,Reeded,3041000.0,1,6,Bimetallic,Franc (1832-2001),1,23.0,Coin alignment ↑↓,0,Standard circulation coin,Belgium,Milled,1.3,5.0,1866.0,1,unknown
5 Cents - Elizabeth II 1st portrait; round,5,Smooth,43970320.0,1,2,Nickel,Canadian dollar (1858-date),0,21.21,Medal alignment ↑↑,0,Standard circulation coin,Canada - Royal Canadian Mint,Milled,1.7,4.54,1963.0,1,unknown
1 Dollar - George VI Royal Visit,12,Milled,1363816.0,1,1,Bimetallic,Canadian dollar (1858-date),0,36.0,Medal alignment ↑↑,0,Circulating commemorative coin,Canada - Royal Canadian Mint,Milled,2.84,23.33,1939,1,19
¼ Franc - Léopold I,45,Special,752188.0,1,4,Bimetallic,Franc (1832-2001),1,15.0,Coin alignment ↑↓,0,Standard circulation coin,Belgium,Milled,1.8,1.25,1834.0,1,unknown
1 Franc Estates General,6,Reeded,5012011.0,1,2,Nickel,New franc (1960-2001),1,24.0,Coin alignment ↑↓,0,Circulating commemorative coin,France,Milled,1.7,6.0,1989,0,19
1 Shilling - Elizabeth II English shield; no 'BRITT:OMN',3,Reeded,30262000.0,1,14,Bimetallic,Pound sterling (1158-1970),1,23.5,Medal alignment ↑↑,0,Standard circulation coin,United Kingdom,Milled,1.7,5.66,1954.0,1,unknown
1 Rupee non-magnetic,5,Reeded,7000000.0,0,6,Bimetallic,Rupee (1972-date),0,25.0,Medal alignment ↑↑,0,Standard circulation coin,Sri Lanka,Milled,1.8,7.1,1972.0,0,unknown
1 Dinar,8,Smooth,-1.0,0,0,Other,Dinar (1964-date),0,20.6,Coin alignment ↑↓,0,Standard circulation coin,Algeria,Milled,1.84,4.2,1413.0,0,unknown
3 Pfennig,27,Special,-1.0,0,0,Copper,Thaler,1,24.0,Coin alignment ↑↓,0,Standard circulation coin,Cathedral chapter of Münster,Other,1.0,3.72,1739.0,0,unknown
50 Cents - Elizabeth II 2nd Portrait - Captain Cook,7,Smooth,556888.0,0,5,Bimetallic,Dollar (1966-date),0,31.51,Medal alignment ↑↑,1,Circulating commemorative coin,Australia,Milled,3.0,15.55,1970,1,19
20 Tambala,18,Reeded,3000000.0,1,3,Bimetallic,Kwacha (1971-date),0,28.5,Medal alignment ↑↑,0,Standard circulation coin,Malawi,Milled,2.2,10.97,1971.0,0,unknown
4 Soldi - Pio IX,31,Plain,2465000.0,1,7,Copper,Lira (1866-1870),1,36.0,Coin alignment ↑↓,0,Standard circulation coin,Papal States,Milled,2.5,20.0,1866.0,1,unknown
